summary_id,period_id,base_id,view_id,headline,full_narrative,carry_forward_note,key_risks,cross_bu_themes,narrative_confidence,status
c26648d41d8c6939,2025-07,BUDGET,MTD,"July 2025 close: Revenue down 1.4%, EBITDA down 10.8%. 2 of 5 BUs exceeded revenue targets.","July 2025 financial performance vs Budget: Revenue decreased by $23,512 (-1.4%) vs Budget. Key drivers: Consulting Fees (-9,951), Advisory & Brokerage Fees (-4,654), Reinsurance Commissions (+2,937). 2 of 6 lines contributed positively.

Cost management: COGS increased by $2,664 (+0.4%) vs Budget. Key drivers: Direct Compensation (+1,589), Subcontractor Costs (-172), Other Direct Costs (-77). 1 of 4 lines contributed positively. OpEx increased by $6,405 (+0.8%) vs Budget. Key drivers: Technology & Infrastructure (+1,148), Occupancy & Real Estate (+1,092), Travel & Entertainment (+669). 7 of 10 lines contributed positively. Gross Profit decreased by $13,088 (-2.6%), margin 58.0%. EBITDA decreased by $16,362 (-10.8%), margin 16.1%. Operating Income decreased by $16,290 (-13.0%), margin 12.9%.

2 risk items identified. 9695 trending variances identified. 12 netting offsets detected.",,"[{'risk': '9695 trending variances identified', 'severity': 'medium'}, {'risk': '12 netting offsets detected', 'severity': 'medium'}]","[{'theme': '2 of 5 BUs exceeded revenue targets', 'bus_affected': ['guy_carpenter', 'mmc_corporate', 'marsh', 'mercer', 'oliver_wyman']}]",0.7,AI_DRAFT
6ae53749b4c3655d,2025-08,BUDGET,MTD,"August 2025 close: Revenue down 0.7%, EBITDA down 6.2%. 1 of 5 BUs exceeded revenue targets.","August 2025 financial performance vs Budget: Revenue decreased by $12,327 (-0.7%) vs Budget. Key drivers: Advisory & Brokerage Fees (-7,611), Consulting Fees (+6,470), Reinsurance Commissions (-3,045). 2 of 6 lines contributed positively.

Cost management: COGS increased by $8,105 (+1.2%) vs Budget. Key drivers: Direct Compensation (+3,718), Other Direct Costs (+141), Direct Technology Costs (+96). 4 of 4 lines contributed positively. OpEx decreased by $2,887 (-0.4%) vs Budget. Key drivers: Compensation & Benefits (-3,188), Occupancy & Real Estate (+1,080), Depreciation & Amortization (+599). 6 of 10 lines contributed positively. Gross Profit decreased by $10,216 (-2.1%), margin 57.1%. EBITDA decreased by $8,173 (-6.2%), margin 15.0%. Operating Income decreased by $8,773 (-8.3%), margin 11.7%.

2 risk items identified. 9695 trending variances identified. 10 netting offsets detected.",,"[{'risk': '9695 trending variances identified', 'severity': 'medium'}, {'risk': '10 netting offsets detected', 'severity': 'medium'}]","[{'theme': '1 of 5 BUs exceeded revenue targets', 'bus_affected': ['mercer', 'guy_carpenter', 'marsh', 'mmc_corporate', 'oliver_wyman']}]",0.7,AI_DRAFT
5f42bb98c7c5f565,2025-09,BUDGET,MTD,"September 2025 close: Revenue down 0.2%, EBITDA up 1.9%. 1 of 5 BUs exceeded revenue targets.","September 2025 financial performance vs Budget: Revenue decreased by $3,748 (-0.2%) vs Budget. Key drivers: Consulting Fees (+11,102), Reinsurance Commissions (-7,879), Advisory & Brokerage Fees (-4,107). 2 of 6 lines contributed positively.

Cost management: COGS decreased by $2,321 (-0.3%) vs Budget. Key drivers: Direct Compensation (-776), Subcontractor Costs (-340), Direct Technology Costs (-243). 1 of 4 lines contributed positively. OpEx decreased by $6,875 (-0.8%) vs Budget. Key drivers: Compensation & Benefits (-3,148), Technology & Infrastructure (-727), Professional Services (+372). 5 of 10 lines contributed positively. Gross Profit decreased by $714 (-0.1%), margin 58.9%. EBITDA increased by $3,050 (+1.9%), margin 17.9%. Operating Income increased by $2,724 (+2.0%), margin 14.8%.

2 risk items identified. 9695 trending variances identified. 9 netting offsets detected.",,"[{'risk': '9695 trending variances identified', 'severity': 'medium'}, {'risk': '9 netting offsets detected', 'severity': 'medium'}]","[{'theme': '1 of 5 BUs exceeded revenue targets', 'bus_affected': ['oliver_wyman', 'guy_carpenter', 'marsh', 'mercer', 'mmc_corporate']}]",0.7,AI_DRAFT
023fd8a5dbc04dfc,2025-10,BUDGET,MTD,"October 2025 close: Revenue up 1.6%, EBITDA up 8.9%. 5 of 5 BUs exceeded revenue targets.","October 2025 financial performance vs Budget: Revenue increased by $33,280 (+1.6%) vs Budget. Key drivers: Reinsurance Commissions (+8,694), Advisory & Brokerage Fees (+4,335), Consulting Fees (+4,157). 4 of 6 lines contributed positively.

Cost management: COGS decreased by $5,820 (-0.7%) vs Budget. Key drivers: Direct Compensation (-1,645), Direct Technology Costs (-590), Subcontractor Costs (-395). 0 of 4 lines contributed positively. OpEx increased by $292 (+0.0%) vs Budget. Key drivers: Technology & Infrastructure (-1,780), Occupancy & Real Estate (+1,309), Depreciation & Amortization (-1,044). 6 of 10 lines contributed positively. Gross Profit increased by $19,550 (+3.2%), margin 61.1%. EBITDA increased by $18,361 (+8.9%), margin 21.8%. Operating Income increased by $19,405 (+11.0%), margin 18.9%.

2 risk items identified. 9695 trending variances identified. 11 netting offsets detected.",,"[{'risk': '9695 trending variances identified', 'severity': 'medium'}, {'risk': '11 netting offsets detected', 'severity': 'medium'}]","[{'theme': '5 of 5 BUs exceeded revenue targets', 'bus_affected': ['guy_carpenter', 'marsh', 'mercer', 'mmc_corporate', 'oliver_wyman']}]",0.7,AI_DRAFT
1eebf322a7e6de2f,2025-11,BUDGET,MTD,"November 2025 close: Revenue down 0.7%, EBITDA down 2.4%. 1 of 5 BUs exceeded revenue targets.","November 2025 financial performance vs Budget: Revenue decreased by $14,388 (-0.7%) vs Budget. Key drivers: Advisory & Brokerage Fees (-7,460), Reinsurance Commissions (+3,744), Consulting Fees (-2,160). 1 of 6 lines contributed positively.

Cost management: COGS increased by $11,871 (+1.5%) vs Budget. Key drivers: Direct Compensation (+3,834), Subcontractor Costs (+1,076), Direct Technology Costs (+685). 4 of 4 lines contributed positively. OpEx decreased by $13,768 (-1.6%) vs Budget. Key drivers: Compensation & Benefits (-5,570), Occupancy & Real Estate (-1,321), Professional Services (-381). 4 of 10 lines contributed positively. Gross Profit decreased by $13,129 (-2.0%), margin 61.6%. EBITDA decreased by $6,038 (-2.4%), margin 23.5%. Operating Income decreased by $6,245 (-2.8%), margin 20.6%.

2 risk items identified. 9695 trending variances identified. 9 netting offsets detected.",,"[{'risk': '9695 trending variances identified', 'severity': 'medium'}, {'risk': '9 netting offsets detected', 'severity': 'medium'}]","[{'theme': '1 of 5 BUs exceeded revenue targets', 'bus_affected': ['guy_carpenter', 'marsh', 'mercer', 'mmc_corporate', 'oliver_wyman']}]",0.7,AI_DRAFT
67e03e2eae01b72b,2025-12,BUDGET,MTD,"December 2025 close: Revenue up 1.9%, EBITDA up 7.2%. 3 of 5 BUs exceeded revenue targets.","December 2025 financial performance vs Budget: Revenue increased by $51,113 (+1.9%) vs Budget. Key drivers: Advisory & Brokerage Fees (+18,316), Reinsurance Commissions (+11,941), Consulting Fees (-8,290). 3 of 6 lines contributed positively.

Cost management: COGS increased by $6,267 (+0.6%) vs Budget. Key drivers: Direct Compensation (+6,403), Subcontractor Costs (-2,365), Other Direct Costs (-675). 1 of 4 lines contributed positively. OpEx decreased by $9,737 (-0.9%) vs Budget. Key drivers: Compensation & Benefits (-1,934), Technology & Infrastructure (-1,153), Travel & Entertainment (-1,080). 2 of 10 lines contributed positively. Gross Profit increased by $22,423 (+2.6%), margin 64.5%. EBITDA increased by $27,075 (+7.2%), margin 29.2%. Operating Income increased by $27,291 (+8.1%), margin 26.5%.

2 risk items identified. 9695 trending variances identified. 6 netting offsets detected.",,"[{'risk': '9695 trending variances identified', 'severity': 'medium'}, {'risk': '6 netting offsets detected', 'severity': 'medium'}]","[{'theme': '3 of 5 BUs exceeded revenue targets', 'bus_affected': ['guy_carpenter', 'marsh', 'mmc_corporate', 'mercer', 'oliver_wyman']}]",0.7,AI_DRAFT
bc553ab9908209d6,2026-01,BUDGET,MTD,"January 2026 close: Revenue down 1.2%, EBITDA down 7.4%. 2 of 5 BUs exceeded revenue targets.","January 2026 financial performance vs Budget: Revenue decreased by $21,064 (-1.2%) vs Budget. Key drivers: Advisory & Brokerage Fees (-11,566), Reinsurance Commissions (+2,345), Investment Income (-1,782). 2 of 6 lines contributed positively.

Cost management: COGS decreased by $1,458 (-0.2%) vs Budget. Key drivers: Subcontractor Costs (-1,290), Direct Compensation (+1,093), Direct Technology Costs (-624). 2 of 4 lines contributed positively. OpEx increased by $1,053 (+0.1%) vs Budget. Key drivers: Technology & Infrastructure (+1,106), Depreciation & Amortization (-820), Occupancy & Real Estate (+745). 4 of 10 lines contributed positively. Gross Profit decreased by $9,803 (-1.9%), margin 58.1%. EBITDA decreased by $11,150 (-7.4%), margin 15.7%. Operating Income decreased by $10,330 (-8.5%), margin 12.6%.

2 risk items identified. 9695 trending variances identified. 11 netting offsets detected.",,"[{'risk': '9695 trending variances identified', 'severity': 'medium'}, {'risk': '11 netting offsets detected', 'severity': 'medium'}]","[{'theme': '2 of 5 BUs exceeded revenue targets', 'bus_affected': ['guy_carpenter', 'mercer', 'marsh', 'mmc_corporate', 'oliver_wyman']}]",0.7,AI_DRAFT
05dd4b681012108d,2026-02,BUDGET,MTD,"February 2026 close: Revenue up 0.4%, EBITDA down 1.0%. 3 of 5 BUs exceeded revenue targets.","February 2026 financial performance vs Budget: Revenue increased by $7,854 (+0.4%) vs Budget. Key drivers: Consulting Fees (+6,139), Advisory & Brokerage Fees (-3,650), Reinsurance Commissions (+632). 4 of 6 lines contributed positively.

Cost management: COGS increased by $8,403 (+1.1%) vs Budget. Key drivers: Direct Compensation (+3,146), Direct Technology Costs (+668), Subcontractor Costs (+447). 3 of 4 lines contributed positively. OpEx increased by $2,884 (+0.4%) vs Budget. Key drivers: Compensation & Benefits (+1,597), Travel & Entertainment (-438), Other Operating Expenses (-350). 7 of 10 lines contributed positively. Gross Profit decreased by $274 (-0.1%), margin 58.4%. EBITDA decreased by $1,616 (-1.0%), margin 16.9%. Operating Income decreased by $1,716 (-1.3%), margin 13.8%.

2 risk items identified. 9695 trending variances identified. 12 netting offsets detected.",,"[{'risk': '9695 trending variances identified', 'severity': 'medium'}, {'risk': '12 netting offsets detected', 'severity': 'medium'}]","[{'theme': '3 of 5 BUs exceeded revenue targets', 'bus_affected': ['guy_carpenter', 'mercer', 'oliver_wyman', 'marsh', 'mmc_corporate']}]",0.7,AI_DRAFT
ecb5da181ed75705,2026-03,BUDGET,MTD,"March 2026 close: Revenue down 0.9%, EBITDA down 6.0%. 2 of 5 BUs exceeded revenue targets.","March 2026 financial performance vs Budget: Revenue decreased by $17,285 (-0.9%) vs Budget. Key drivers: Consulting Fees (-7,761), Advisory & Brokerage Fees (-7,314), Reinsurance Commissions (+4,944). 2 of 6 lines contributed positively.

Cost management: COGS decreased by $1,468 (-0.2%) vs Budget. Key drivers: Subcontractor Costs (-892), Direct Technology Costs (+388), Direct Compensation (-154). 1 of 4 lines contributed positively. OpEx increased by $6,687 (+0.8%) vs Budget. Key drivers: Technology & Infrastructure (+2,464), Compensation & Benefits (+789), Professional Services (-580). 7 of 10 lines contributed positively. Gross Profit decreased by $7,908 (-1.4%), margin 59.4%. EBITDA decreased by $11,241 (-6.0%), margin 18.5%. Operating Income decreased by $11,252 (-7.1%), margin 15.4%.

2 risk items identified. 9695 trending variances identified. 11 netting offsets detected.",,"[{'risk': '9695 trending variances identified', 'severity': 'medium'}, {'risk': '11 netting offsets detected', 'severity': 'medium'}]","[{'theme': '2 of 5 BUs exceeded revenue targets', 'bus_affected': ['guy_carpenter', 'mmc_corporate', 'marsh', 'mercer', 'oliver_wyman']}]",0.7,AI_DRAFT
c1f54d4f86473ed6,2026-04,BUDGET,MTD,"April 2026 close: Revenue up 0.5%, EBITDA down 2.1%. 3 of 5 BUs exceeded revenue targets.","April 2026 financial performance vs Budget: Revenue increased by $10,330 (+0.5%) vs Budget. Key drivers: Advisory & Brokerage Fees (+3,502), Reinsurance Commissions (+2,934), Data & Analytics Revenue (-1,311). 4 of 6 lines contributed positively.

Cost management: COGS increased by $4,661 (+0.6%) vs Budget. Key drivers: Direct Compensation (+1,380), Subcontractor Costs (+627), Direct Technology Costs (+375). 3 of 4 lines contributed positively. OpEx increased by $14,496 (+1.7%) vs Budget. Key drivers: Compensation & Benefits (+4,892), Technology & Infrastructure (+2,492), Other Operating Expenses (-326). 6 of 10 lines contributed positively. Gross Profit increased by $2,835 (+0.5%), margin 60.5%. EBITDA decreased by $4,500 (-2.1%), margin 20.7%. Operating Income decreased by $4,413 (-2.4%), margin 17.8%.

2 risk items identified. 9695 trending variances identified. 7 netting offsets detected.",,"[{'risk': '9695 trending variances identified', 'severity': 'medium'}, {'risk': '7 netting offsets detected', 'severity': 'medium'}]","[{'theme': '3 of 5 BUs exceeded revenue targets', 'bus_affected': ['guy_carpenter', 'marsh', 'mercer', 'mmc_corporate', 'oliver_wyman']}]",0.7,AI_DRAFT
7643cb022ac634ec,2026-05,BUDGET,MTD,"May 2026 close: Revenue down 2.4%, EBITDA down 12.5%. 1 of 5 BUs exceeded revenue targets.","May 2026 financial performance vs Budget: Revenue decreased by $46,542 (-2.4%) vs Budget. Key drivers: Advisory & Brokerage Fees (-25,372), Reinsurance Commissions (+9,818), Consulting Fees (-4,756). 1 of 6 lines contributed positively.

Cost management: COGS decreased by $1,523 (-0.2%) vs Budget. Key drivers: Direct Compensation (-1,449), Subcontractor Costs (+850), Direct Technology Costs (-353). 2 of 4 lines contributed positively. OpEx increased by $10,075 (+1.2%) vs Budget. Key drivers: Technology & Infrastructure (+3,337), Compensation & Benefits (+2,015), Travel & Entertainment (-399). 4 of 10 lines contributed positively. Gross Profit decreased by $22,510 (-3.7%), margin 60.2%. EBITDA decreased by $27,461 (-12.5%), margin 19.9%. Operating Income decreased by $27,547 (-14.4%), margin 16.9%.

2 risk items identified. 9695 trending variances identified. 14 netting offsets detected.",,"[{'risk': '9695 trending variances identified', 'severity': 'medium'}, {'risk': '14 netting offsets detected', 'severity': 'medium'}]","[{'theme': '1 of 5 BUs exceeded revenue targets', 'bus_affected': ['guy_carpenter', 'marsh', 'mercer', 'mmc_corporate', 'oliver_wyman']}]",0.7,AI_DRAFT
5b86dc8338e353d3,2026-06,BUDGET,MTD,"June 2026 close: Revenue down 1.4%, EBITDA down 9.9%. 1 of 5 BUs exceeded revenue targets.","June 2026 financial performance vs Budget: Revenue decreased by $26,166 (-1.4%) vs Budget. Key drivers: Consulting Fees (-9,392), Reinsurance Commissions (-7,823), Advisory & Brokerage Fees (+7,266). 2 of 6 lines contributed positively.

Cost management: COGS increased by $2,903 (+0.4%) vs Budget. Key drivers: Subcontractor Costs (+2,301), Direct Compensation (-1,639), Direct Technology Costs (+788). 3 of 4 lines contributed positively. OpEx increased by $4,683 (+0.6%) vs Budget. Key drivers: Technology & Infrastructure (+3,900), Compensation & Benefits (-959), Professional Services (+480). 4 of 10 lines contributed positively. Gross Profit decreased by $14,535 (-2.6%), margin 58.6%. EBITDA decreased by $17,333 (-9.9%), margin 16.9%. Operating Income decreased by $16,876 (-11.6%), margin 13.8%.

2 risk items identified. 9695 trending variances identified. 11 netting offsets detected.",,"[{'risk': '9695 trending variances identified', 'severity': 'medium'}, {'risk': '11 netting offsets detected', 'severity': 'medium'}]","[{'theme': '1 of 5 BUs exceeded revenue targets', 'bus_affected': ['marsh', 'guy_carpenter', 'mercer', 'mmc_corporate', 'oliver_wyman']}]",0.7,AI_DRAFT
